id,url,title,authorName,thumbnailUrl,visibleText,source
"7554740067823160583","https://www.tiktok.com/@powerpump45/video/7554740067823160583","จากสมองตื้อ...สู่ฟอร์มที่เฉียบคมในสนาม! ⚡️  . ดูเคล็ดลับง่ายๆ ในคลิปนี้ . @powerpump45  @powerpump45  @powerpump45  . #คาเฟอีน  #โภชนาการกีฬา#SportNutrition #Powerpump45","powerpump45","https://p19-common-sign.tiktokcdn.com/tos-alisg-p-0037/o81f0AIxUABTwDAEEIDCB6VXHKiBIaMiMACkvA~tplv-tiktokx-origin.image?dr=14575&x-expires=1780556400&x-signature=tNX6lneve%2BIfEkilNahx%2FqBWfjI%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1","1077","visible-page+oembed"
"7553970859724115207","https://www.tiktok.com/@powerpump45/video/7553970859724115207","เสียโปรตีนไปฟรีๆ ถ้ายังกินแบบรวบยอดมื้อเดียว! 😱 มาดูวิธี “กดสวิตช์” สร้างกล้ามให้ได้วันละ 3 รอบกัน . อยากให้ทีม #powerpump45 ช่วย “จัดตาราง” การกินที่เหมาะสมกับเป้าหมายและไลฟ์สไตล์ของคุณ? ทัก Inbox มาปรึกษาแผนได้เลย! 💬 . @powerpump45 @powerpump45  @powerpump45  . #Leucine #โภชนาการกีฬา#SportNutrition #PowerPump45 ","powerpump45","https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oEGiRDQ8eMD4ALAEQ47IC8ZVooFHjq9Emezcfk~tplv-tiktokx-origin.image?dr=14575&x-expires=1780556400&x-signature=bo8fnwdD%2FDRstdVcYfw99ALCtEY%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1","747","visible-page+oembed"
"7552141037565807879","https://www.tiktok.com/@powerpump45/video/7552141037565807879","🎥 Proprioception Training . “ฝึกร่างกายให้รับรู้ตำแหน่งตัวเอง มั่นคง ไม่พลิกง่าย” . @powerpump45  @powerpump45  @powerpump45  . ##Proprioception##BodyAwareness##BasicMakePerfect#PowerPump45 #ศูนย์พัฒนานักกีฬา ","powerpump45","https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oUHY6EDBPAmAz29kAa0AREilXAOYiiMTIxBEc~tplv-tiktokx-origin.image?dr=14575&x-expires=1780556400&x-signature=ZXdsq7EheMndIbyRzbfxdPwkTiI%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1","2205","visible-page+oembed"
"7551355023708409095","https://www.tiktok.com/@powerpump45/video/7551355023708409095","""Success is no accident. It is hard work, perseverance, learning, sacrifice and most of all, love of what you are doing."" . “ Pelé ” . @powerpump45  @powerpump45  . Chance is yourself. . #PowerPump45  #ศูนย์พัฒนานักกีฬา #ChanceIsYourself #AthleteMindset ","powerpump45","https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oAfkANWD8okLEgESzeBFFECDCxAuyIRL16UAAB~tplv-tiktokx-origin.image?dr=14575&x-expires=1780556400&x-signature=72nhhYBpv2Tzu20fyrgNH65sZQc%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1","677","visible-page+oembed"
"7549551258701450514","https://www.tiktok.com/@powerpump45/video/7549551258701450514","3 ท่าช่วยให้คุณนิ่งขณะออกแรงและส่งแรงได้ดีขึ้น !!! . มาลองฝึกกันดู 🏃🏻 . @powerpump45  @powerpump45  @powerpump45  . #stabilzedynamic #powerpump45  #ศูนย์พัฒนานักกีฬา ","powerpump45","https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/ooFOO5zoxAMMB8XDEiRWfRZBULFfQznIEVugID~tplv-tiktokx-origin.image?dr=14575&x-expires=1780556400&x-signature=k%2FoT1uZXTOlR9IKsF%2BlXWQV7Bys%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1","1300","visible-page+oembed"
"7548792200436518152","https://www.tiktok.com/@powerpump45/video/7548792200436518152","อาการล้าเกิดจากอะไร? อาหารจะข่วยได้ไหม? มาดูไปพร้อมกันครับ😊 . 𝗖𝗵𝗮𝗻𝗰𝗲 𝗶𝘀 𝘆𝗼𝘂𝗿𝘀𝗲𝗹𝗳 . #อาการล้า #โภชนาการกีฬา #SportNutrition #powerpump45  #ศูนย์พัฒนานักกีฬา ","powerpump45","https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/osDALOg8IEEj0PN4hYaiBDBlkziSAAMwTAkAS~tplv-tiktokx-origin.image?dr=14575&x-expires=1780556400&x-signature=qsBxouBX0%2FwGw96ypBpdsF4KuvU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1","1957","visible-page+oembed"
"7546908518390025479","https://www.tiktok.com/@powerpump45/video/7546908518390025479","4 ท่ายืดช่วยแก้อาการรองช้ำ  . @powerpump45  @powerpump45  @powerpump45  .  #PlantarFasc#PlantarFasciitisBasicMakePerfect  #powerpump45  ","powerpump45","https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/o0iLQwARAMQetAAA4BeJ8WUfKGQGngxVGAenqA~tplv-tiktokx-origin.image?dr=14575&x-expires=1780556400&x-signature=a%2FWFCggaM4F8MpbrP0Dv6N8ajhk%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1","1080","visible-page+oembed"
"7546125327622212865","https://www.tiktok.com/@powerpump45/video/7546125327622212865","ฟื้นฟู ACL Phase Return to Play = ฝึกควบคุม ลงมั่นคง เปลี่ยนทิศจริง เพราะหายเจ็บ…ยังไม่พอ  ต้องกลับมาเล่นได้อย่างมั่นใจ  #ACLRecovery #ReturnToPlay    #basicmakeperfect #fyp  #powerpump45  @powerpump45  @powerpump45  @powerpump45 ","powerpump45","https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oMUReuECDAVBY5USEUkmOsgEDfA5FBAiXCAoTI~tplv-tiktokx-origin.image?dr=14575&x-expires=1780556400&x-signature=A5%2Fi7ceK4Tx5K%2F2POCbDVVq8gbA%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1","10.2K","visible-page+oembed"
"7544684097814269202","https://www.tiktok.com/@powerpump45/video/7544684097814269202","“ก้าวแรกที่ลงมือทำ คือ ก้าวแรกของชัยชนะ” . ”Chance is yourself“ . @powerpump45  @powerpump45  @powerpump45  . ##น้องอิว##PowerPump45##ศูนย์พัฒนานักกีฬา##ChanceIsYourself#โอกาสคือการลงมือทำ   ","powerpump45","https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/o4rDFCwmDI5VLdLoQFAHEfoeoNaHRQAwjDXjAf~tplv-tiktokx-origin.image?dr=14575&x-expires=1780556400&x-signature=Q5qBxx5aKvpyXui5%2BL2ReB645kc%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1","821","visible-page+oembed"
"7543962692839591176","https://www.tiktok.com/@powerpump45/video/7543962692839591176","""4 ท่าบริหารง่ายๆ แก้เท้าแบน"" . ถ้าคุณเป็นคนหนึ่งที่ปวดส้นเท้าบ่อยๆ จนหมดไฟในการฝึกซ้อม ... คุณอาจกำลังแก้ปัญหาผิดจุด !!! ปัญหาอาจอยู่ที่ เท้าแบน (Flat foot)  . วันนี้จะมาแนะนำ ""4 ท่าบริหารง่ายๆ แก้เท้าแบน"" ที่จะช่วยเสริมสร้างความแข็งแรงและลดอาการปวด เพื่อให้คุณกลับมาซ้อมได้เต็มที่แบบไม่ต้องกังวลอีกต่อไป... . 1. เดินด้วยส้นเท้าและปลายเท้า (Heel and Toe Walking) > ช่วยบริหารกล้ามเนื้อหลายส่วนในขาและเท้า และฝึกการควบคุมการเคลื่อนไหว 2. ยืนเขย่งปลายเท้า (Calf Raise) > ช่วยเสริมความแข็งแรงของกล้ามเนื้อน่อง ซึ่งเป็นกล้ามเนื้อสำคัญที่ช่วยพยุงอุ้งเท้าและรองรับแรงกระแทก  3. จิกผ้าขนหนู (Towel Curls) > ช่วยเสริมความแข็งแรงของกล้ามเนื้อนิ้วเท้าและฝ่าเท้า  4. กลิ้งลูกบอล (Ball Rolling) > ช่วยนวดและคลายกล้ามเนื้อฝ่าเท้าที่ตึง รวมถึงกระตุ้นการทำงานของอุ้งเท้า  . การฝึกท่าเหล่านี้อย่างสม่ำเสมอจะช่วยเพิ่มความแข็งแรงและความยืดหยุ่นให้เท้าได้ ซึ่งเป็นฐานสำคัญในการป้องกันอาการบาดเจ็บและเพิ่มศักยภาพในการเล่นกีฬาให้ดีขึ้นอีกด้วย . @powerpump45  @powerpump45  . #Flatfoot #เท้าแบน #BasicMakePerfect #PowerMakePossible #powerpump45  ","powerpump45","https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/o4wgViML0A58iVe1ABAT2MDWiCRIqIvIhCptxL~tplv-tiktokx-origin.image?dr=14575&x-expires=1780556400&x-signature=X0BI4STIajW8L2xH97nK4fpPH0Y%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1","17.5K","visible-page+oembed"
